hour_of_day,day_of_week,is_weekend,is_business_hours,geo_lat,geo_lon,geo_velocity,session_duration_minutes,resource_hash,auth_method_encoded,n_events_last_1h,n_events_last_24h,n_unique_resources_last_24h,n_failed_auths_last_1h,device_os_encoded,days_since_first_seen
3,3,0,0,1.3521,103.8198,0.0,49.89878640660192,619,2,1,4,3,0.0,2,13.198611111111111
1,0,0,0,43.651,-79.347,0.0,336.6246051389901,13,1,1,3,3,0.0,0,3.1493055555555554
11,2,0,1,1.3521,103.8198,0.0,76.56262734815513,103,2,1,3,3,0.0,2,19.568055555555556
2,3,0,0,52.52,13.405,0.0,59.83490517557389,103,2,1,4,3,0.0,2,20.244444444444444
3,6,1,0,1.3521,103.8198,0.0,46.59628548032984,619,2,2,4,4,0.0,2,15.792361111111111
13,6,1,1,52.52,13.405,0.0,45.0460256039681,750,2,1,4,3,0.0,2,9.734722222222222
13,4,0,1,51.5074,-0.1278,0.0,284.2699276278976,269,0,1,6,4,0.0,0,14.722916666666666
20,4,0,0,40.7128,-74.006,0.0,262.0408226916248,567,0,1,3,2,0.0,0,15.027083333333334
3,5,1,0,51.5074,-0.1278,0.0,329.3182009377547,13,0,2,5,3,0.0,0,1.3305555555555555
8,3,0,0,43.651,-79.347,0.0,42.03701533102257,228,4,2,3,3,0.0,2,13.597222222222221
11,4,0,1,51.5074,-0.1278,0.0,422.2875989808413,449,0,1,2,2,0.0,0,0.14791666666666667
15,5,1,1,35.6762,139.6503,0.0,77.03921768915733,165,2,1,5,4,0.0,2,8.297222222222222
14,1,0,1,1.3521,103.8198,0.0,64.12873031352547,981,2,1,5,3,0.0,2,18.23611111111111
0,2,0,0,48.8566,2.3522,0.0,268.0403233124921,567,0,1,3,3,0.0,0,12.03125
7,0,0,0,19.076,72.8777,0.0,48.62256997949896,228,2,1,1,1,0.0,2,3.548611111111111
11,6,1,1,37.7749,-122.4194,0.0,35.11838062370954,732,1,1,4,4,0.0,2,16.397916666666667
20,4,0,0,35.6762,139.6503,0.0,333.67144063768467,750,0,1,4,4,0.0,0,14.663194444444445
8,1,0,0,35.6762,139.6503,0.0,59.444878588901496,670,2,1,5,5,0.0,2,18.349305555555556
8,6,1,0,43.651,-79.347,0.0,37.20197943936736,13,2,1,2,2,0.0,2,23.595833333333335
11,3,0,1,37.7749,-122.4194,0.0,299.676920296048,469,2,1,4,3,0.0,0,20.32777777777778
1,4,0,0,37.7749,-122.4194,0.0,60.717379796770246,165,2,1,3,3,0.0,2,7.26875
14,5,1,1,19.076,72.8777,0.0,88.38287641249602,103,2,1,2,2,0.0,2,8.522916666666667
16,6,1,1,40.7128,-74.006,0.0,70.94764552672474,165,2,1,3,3,0.0,2,23.176388888888887
10,4,0,1,1.3521,103.8198,0.0,291.9673356816963,292,0,1,6,5,0.0,0,14.51388888888889
0,4,0,0,43.651,-79.347,0.0,40.01633119854832,727,2,1,5,2,0.0,2,20.874305555555555
12,0,0,1,1.3521,103.8198,0.0,364.79358909315073,103,0,1,2,2,0.0,0,3.638888888888889
23,0,0,0,40.7128,-74.006,0.0,80.5912449937331,292,2,1,5,4,0.0,2,17.500694444444445
7,1,0,0,48.8566,2.3522,0.0,44.760068532479565,850,2,1,5,4,0.0,2,11.042361111111111
4,5,1,0,1.3521,103.8198,0.0,35.16540959744876,727,2,1,3,3,0.0,2,14.99236111111111
2,5,1,0,48.8566,2.3522,0.0,234.5134012816184,619,0,1,3,3,0.0,0,15.130555555555556
6,2,0,0,1.3521,103.8198,0.0,68.5800941745071,866,2,1,4,3,0.0,2,4.615277777777778
17,4,0,1,19.076,72.8777,0.0,267.1552860514302,165,0,1,4,4,0.0,0,0.8375
11,5,1,1,-33.8688,151.2093,0.0,57.97514658034408,850,2,1,2,1,0.0,2,15.597222222222221
